Unique ID,Numeric Animal ID,Capture Number,SAT-1,SAT-2,SAT-3
23-1216,23,16,2.4,1.2,1.9
23-0217,23,17,2.4,1.4,1.8
23-0517,23,18,,,
23-0817,23,19,,,
24-0314,24,1,2.3,2.3,2.3
24-0614,24,3,2.3,2.3,2.3
24-0814,24,4,2.3,2.3,1.5
24-1014,24,5,2.3,1.6,1.5
24-1214,24,6,2.3,2.3,2.1
25-0314,25,1,1.4,2.3,1.2
25-0614,25,3,2.3,2.3,2.3
25-0814,25,4,2.0,2.1,1.2
25-1014,25,5,2.3,2.3,1.2
26-0314,26,1,1.8,2.3,1.2
26-0614,26,3,1.6,2.3,1.2
26-0814,26,4,1.2,2.3,1.2
26-1014,26,5,1.6,2.3,1.2
26-1214,26,6,1.8,2.3,1.4
26-0215,26,7,1.8,2.3,1.2
26-0615,26,8,1.3,2.3,1.2
26-0815,26,9,1.2,2.3,1.2
26-1015,26,10,1.2,2.3,1.2
26-1115,26,11,1.66,1.89,1.20
26-0216,26,12,1.58,2.30,1.20
26-0516,26,13,1.9,1.6,1.2
26-0816,26,14,2.1,2.3,1.2
26-1016,26,15,1.6,2,1.2
26-1216,26,16,2,1.9,1.2
26-0217,26,17,2,2.3,1.2
26-0517,26,18,,,
26-0817,26,19,,,
27-0614,27,3,1.9,2.3,2.3
27-0814,27,4,1.9,1.5,1.9
27-1014,27,5,2.3,1.2,2.3
27-1214,27,6,2.2,1.7,2.1
27-0215,27,7,2.3,1.9,2.3
27-0615,27,8,2.2,1.9,2.3
27-0815,27,9,2.3,2.3,2.3
27-1015,27,10,2.3,2.3,2.3
27-1115,27,11,,,
27-0216,27,12,2.30,2.30,2.30
27-0516,27,13,2.4,1.5,1.9
27-0816,27,14,2.4,1.9,2
27-1016,27,15,2.3,1.6,1.8
27-1216,27,16,2.4,1.5,2.4
27-0217,27,17,2.3,1.8,1.9
27-0817,27,19,,,
28-0314,28,1,1.9,2.3,1.2
28-0614,28,3,1.5,2.0,1.5
28-0814,28,4,1.2,1.7,1.2
28-1014,28,5,1.4,1.9,1.2
28-1214,28,6,1.6,1.6,1.2
28-0215,28,7,2.0,2.1,1.5
28-0615,28,8,1.6,2.0,1.2
28-0815,28,9,1.3,2.3,1.2
28-1015,28,10,1.2,1.8,1.2
28-1115,28,11,1.92,1.78,1.20
28-0216,28,12,2.01,2.30,1.20
28-0516,28,13,2.2,1.4,1.2
28-0816,28,14,1.9,1.6,1.2
28-1016,28,15,1.9,1.7,1.2
28-1216,28,16,2.1,1.4,1.2
28-0217,28,17,2,1.9,1.2
28-0517,28,18,,,
28-0817,28,19,,,
29-0314,29,1,2.3,2.3,2.3
29-0614,29,3,2.1,2.3,1.9
29-0814,29,4,2.3,1.9,1.5
30-0314,30,1,1.8,2.3,2.3
30-0614,30,3,2.0,2.3,2.3
30-0814,30,4,1.4,1.6,1.4
30-1014,30,5,1.6,2.3,2.0
30-1214,30,6,2.0,2.3,2.3
30-0215,30,7,2.0,2.3,1.9
30-0615,30,8,1.2,1.9,1.7
30-0815,30,9,1.3,2.3,2.1
30-1015,30,10,1.2,2.3,1.9
30-1115,30,11,1.93,1.82,1.77
30-0216,30,12,2.07,2.30,2.30
30-0516,30,13,2.1,1.5,1.7
30-0816,30,14,2.3,1.9,1.9
30-1016,30,15,2,1.7,1.7
30-1216,30,16,1.9,1.4,1.8
30-0217,30,17,2.1,1.9,1.9
30-0517,30,18,,,
30-0817,30,19,,,
31-0314,31,1,2.3,2.3,2.3
31-0614,31,3,2.3,2.3,2.3
31-0814,31,4,2.3,2.1,1.5
31-1014,31,5,2.3,2.3,2.3
31-1214,31,6,2.3,2.3,2.3
31-0215,31,7,2.3,2.3,2.3
31-0615,31,8,2.3,2.3,2.3
31-0815,31,9,2.3,2.3,2.3
31-1015,31,10,2.3,2.3,2.3
31-1115,31,11,,,
31-0216,31,12,2.30,2.30,2.30
31-0516,31,13,2.4,2.2,2.2
31-0816,31,14,,2.2,
31-1016,31,15,2.4,2.4,2.2
32-0314,32,1,1.8,2.3,1.6
32-0614,32,3,1.6,2.3,1.7
32-0814,32,4,1.5,1.8,1.2
32-1014,32,5,1.8,2.3,1.8
32-1214,32,6,2.1,2.3,1.7
32-0215,32,7,1.9,2.3,2.0
32-0615,32,8,1.6,2.3,1.6
32-0815,32,9,1.6,1.7,1.4
32-1015,32,10,1.2,2.3,1.7
32-1115,32,11,1.92,1.64,1.41
32-0216,32,12,2.03,1.95,1.51
32-0516,32,13,2.2,2.4,1.2
33-0314,33,1,2.3,2.3,2.3
33-0614,33,3,2.3,2.3,1.7
33-0814,33,4,2.3,2.3,2.3
33-1014,33,5,2.3,2.3,2.3
33-1214,33,6,2.3,2.3,2.3
33-0215,33,7,2.3,2.3,2.3
33-0615,33,8,2.3,2.3,2.3
33-0815,33,9,2.3,1.8,2.3
33-1015,33,10,2.3,2.3,2.1
33-1115,33,11,2.30,2.30,2.30
33-0216,33,12,2.30,2.30,2.30
33-0516,33,13,2.4,2.4,2.2
33-0816,33,14,2.4,2.2,2.2
33-1016,33,15,2.4,2.3,2
33-1216,33,16,2.4,2.4,2.4
33-0217,33,17,2.4,2.4,2.2
33-0517,33,18,,,
33-0817,33,19,,,
34-0314,34,1,1.9,2.3,1.9
34-0614,34,3,1.2,1.2,1.2
34-0814,34,4,1.2,1.9,1.2
34-1014,34,5,1.7,2.3,1.6
34-1214,34,6,2.1,2.3,1.8
34-0215,34,7,1.8,2.3,1.9
34-0615,34,8,1.4,2.0,1.6
34-0815,34,9,1.5,1.7,1.3
34-1015,34,10,2.3,2.3,1.9
34-1115,34,11,2.02,1.89,1.58
34-0216,34,12,1.84,2.30,1.20
34-0516,34,13,2.2,2.1,1.6
34-0816,34,14,2.4,2.3,1.8
34-1016,34,15,2.1,1.9,1.2
34-1216,34,16,2.1,1.2,1.8
34-0217,34,17,2.2,2.4,2
34-0517,34,18,,,
34-0817,34,19,,,
35-0314,35,1,2.3,2.3,2.0
35-0614,35,3,2.3,2.3,1.8
35-0814,35,4,2.3,2.3,1.7
35-1014,35,5,2.3,2.3,1.8
35-1214,35,6,1.7,2.0,1.7
35-0215,35,7,2.3,2.3,2.3
35-0615,35,8,2.3,2.3,1.9
35-0815,35,9,2.3,2.3,2.3
35-1015,35,10,2.3,2.3,1.5
35-1115,35,11,2.30,2.30,1.60
35-0216,35,12,2.30,1.79,1.20
35-0516,35,13,2.4,1.9,1.2
35-0816,35,14,2.4,2.4,1.7
35-1016,35,15,2.3,2,1.2
35-1216,35,16,2.4,1.2,1.6
35-0217,35,17,2.3,2.2,1.6
35-0517,35,18,,,
35-0817,35,19,,,
36-0314,36,1,2.3,2.3,2.3
36-0614,36,3,2.1,2.3,1.2
36-0814,36,4,1.7,2.3,1.4
36-1014,36,5,2.3,2.3,1.9
36-1214,36,6,2.0,2.0,1.6
36-0215,36,7,1.9,2.3,2.1
36-0615,36,8,2.1,2.3,1.9
36-0815,36,9,2.3,2.3,1.9
36-1015,36,10,1.7,2.3,1.7
36-1115,36,11,,,
36-0216,36,12,2.30,2.30,1.94
36-0516,36,13,2.4,2.4,2
36-0816,36,14,2.4,2.2,1.4
36-1016,36,15,2.3,2.1,1.5
36-1216,36,16,2,1.2,1.5
36-0217,36,17,2.3,2.2,1.7
36-0517,36,18,,,
36-0817,36,19,,,
37-0814,37,4,2.3,2.3,2.0
37-1014,37,5,2.3,2.3,1.4
38-0615,38,8,2.3,2.3,2.3
38-0815,38,9,2.3,1.2,2.3
38-1015,38,10,2.0,2.0,2.2
38-1115,38,11,2.30,2.30,2.30
38-0216,38,12,2.30,2.30,2.30
38-0516,38,13,2.4,2.3,2
38-0816,38,14,2.4,2.3,2
38-1016,38,15,2.4,2,2.1
38-1216,38,16,2.4,1.2,2.2
38-0217,38,17,2.4,2.2,2.1
38-0517,38,18,,,
38-0817,38,19,,,
39-0615,39,8,1.8,1.9,2.1
39-0815,39,9,1.9,1.2,1.6
39-1015,39,10,1.5,1.7,1.5
39-1115,39,11,2.08,1.91,1.98
39-0216,39,12,2.30,2.30,2.30
40-0614,40,3,2.3,2.3,1.8
40-0814,40,4,2.1,2.3,1.5
40-1014,40,5,2.3,2.3,1.5
40-1214,40,6,2.1,2.3,1.2
40-0215,40,7,1.9,2.3,1.9
40-0615,40,8,2.1,2.3,1.8
40-0815,40,9,2.3,2.3,1.2
40-1015,40,10,2.3,2.3,2.3
40-1115,40,11,,,
40-0216,40,12,2.30,2.30,2.30
40-0516,40,13,,,
40-0816,40,14,2.4,2.4,1.7
40-1016,40,15,1.9,1.4,1.2
40-1216,40,16,2.4,1.2,1.8
40-0217,40,17,2.4,2.4,1.8
40-0517,40,18,,,
40-0817,40,19,,,
41-0314,41,1,1.5,2.3,2.3
41-0614,41,3,2.3,2.3,1.2
41-0814,41,4,2.1,2.3,1.5
41-1014,41,5,2.3,2.3,1.9
41-1214,41,6,2.3,1.2,1.5
41-0215,41,7,2.0,2.3,1.8
41-0615,41,8,2.2,2.3,1.8
41-0815,41,9,2.3,2.3,1.8
41-1015,41,10,2.3,2.3,1.5
41-1115,41,11,,,
41-0216,41,12,2.30,2.30,1.85
41-0516,41,13,2.4,2.3,1.6
41-0816,41,14,2.4,2.3,1.8
41-1016,41,15,2.4,2.3,1.7
41-1216,41,16,2.4,1.2,2
41-0217,41,17,2.3,2.3,1.5
41-0517,41,18,,,
41-0817,41,19,,,
42-0314,42,1,1.2,1.5,1.2
42-0614,42,3,2.3,1.2,1.5
42-0814,42,4,2.3,1.2,1.5
42-1014,42,5,2.3,2.3,1.5
42-1214,42,6,1.9,1.5,1.2
42-0215,42,7,2.3,1.7,2.3
42-0615,42,8,2.3,1.4,2.0
42-0815,42,9,2.3,1.4,2.3
42-1015,42,10,2.3,1.6,1.7
42-1115,42,11,2.30,1.57,1.80
42-0216,42,12,2.30,1.58,1.60
42-0816,42,14,2.4,1.2,1.7
42-1016,42,15,2.2,1.2,1.5
42-1216,42,16,2.4,1.2,1.9
42-0217,42,17,2.3,1.4,1.7
42-0517,42,18,,,
42-0817,42,19,,,
43-0314,43,1,1.2,1.9,1.2
43-0614,43,3,1.2,1.2,1.2
